,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,house_material_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex,unique_address,LAT_LON,underground_search,metro_address,LAT_LON_metro,metro_nearest,airport_nearest,center_distance
12,Стройтэк,developer,https://ekb.cian.ru/sale/flat/288664343/,Екатеринбург,sale,flat,14,32,1,36.45,6590000,2023,Монолитно-кирпичный,13.3,13.7,73432261693,Орджоникидзевский,проспект Космонавтов,26А,Машиностроителей,Атмосфера,"Екатеринбург,проспект Космонавтов,26А","(56.879591805339, 60.61611017241)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",256.92723276489426,18897.983105281,4920.98795105948
13,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/298709602/,Екатеринбург,sale,flat,19,21,1,42.5,5050000,2019,-1,11.5,17.8,79126415316,,проспект Академика Сахарова,29,Чкаловская,,"Екатеринбург,проспект Академика Сахарова,29","(56.773858570531, 60.535297246915)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",5886.938572788128,16808.78628243981,8291.997779398886
14,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/300716610/,Екатеринбург,sale,flat,4,25,1,48.0,4950000,2023,-1,15.0,19.0,79125708115,Чкаловский, Щербакова,148,Чкаловская,River Park,"Екатеринбург, Щербакова,148","(56.767398222689, 60.678998629585)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6136.906281265854,8100.349754574592,8629.026649386315
15,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/298629427/,Екатеринбург,sale,flat,11,25,1,39.0,6150000,2012,-1,14.241259208469469,12.0,79193901824,Кировский, Библиотечная,45,Геологическая,,"Екатеринбург, Библиотечная,45","(56.832691285216, 60.661965720664)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",3626.493726114674,13092.02393415969,3094.870065663228
16,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/299799623/,Екатеринбург,sale,flat,8,13,1,41.3,5940000,2002,-1,15.08112834127664,10.0,79126525070,Верх-Исетский, Готвальда,6к3,Уральская,,"Екатеринбург, Готвальда,6к3","(56.850426596054, 60.569950025794)",Станция метро Уральская,"Екатеринбург,Станция метро Уральская","('56.8578879', '60.6011489')",2076.8745850704267,18539.242797584346,3034.6385710772824
17,Новосел,real_estate_agent,https://ekb.cian.ru/sale/flat/299766385/,Екатеринбург,sale,flat,8,14,1,30.0,4500000,2003,-1,17.0,8.0,79126130806,Кировский, Боровая,29,Машиностроителей,,"Екатеринбург, Боровая,29","(56.864055612527, 60.648167683113)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",2702.253481916141,16340.749764534405,3889.9118954491287
18,Страна Девелопмент,developer,https://ekb.cian.ru/sale/flat/299892404/,Екатеринбург,sale,flat,4,24,1,46.43,6690000,2025,Монолитный,12.5,18.3,73432261728,Орджоникидзевский, Шефская,22А,Проспект Космонавтов,Страна.Энтузиастов,"Екатеринбург, Шефская,22А","(56.894954283207, 60.63504170656)",Станция метро Проспект Космонавтов,"Екатеринбург,Станция метро Проспект Космонавтов","('56.9023365', '60.6127772')",1586.3601331793177,19642.96769259769,6777.330083785962
19,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/296577401/,Екатеринбург,sale,flat,11,31,1,37.43,5700000,2023,-1,12.5,13.0,79826884501,Ленинский, Академика Бардина,26А,Чкаловская,Дом на Бардина,"Екатеринбург, Академика Бардина,26А","(56.807174592523, 60.557521651104)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",3195.4706431610302,16635.129692283812,4560.916390914429
20,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/299334183/,Екатеринбург,sale,flat,14,25,1,36.2,5068000,2023,-1,13.218809829399866,6.394088576682584,73432261736,Чкаловский, 2-я Новосибирская,10,Ботаническая,Южный сад,"Екатеринбург, 2-я Новосибирская,10","(56.750175411465, 60.573231591881)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",6375.4630971025845,14198.705149671548,9782.289743598643
21,Green Garden,real_estate_agent,https://ekb.cian.ru/sale/flat/300454753/,Екатеринбург,sale,flat,27,31,1,38.2,8500000,2021,-1,17.0,12.0,79126930145,, 8 Марта,202/3,Чкаловская,,"Екатеринбург, 8 Марта,202/3","(56.799665999971, 60.602844720987)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",956.0712889385144,13773.54482809892,4022.325634763613
22,АЗБУКА НЕДВИЖИМОСТИ,real_estate_agent,https://ekb.cian.ru/sale/flat/296263869/,Екатеринбург,sale,flat,19,24,1,39.9,4990000,2015,-1,20.0,13.0,79120516050,, Вильгельма де Геннина,49,Геологическая,,"Екатеринбург, Вильгельма де Геннина,49","(56.787990092667, 60.513414088876)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",6978.678343164506,18463.332636692667,7991.4628590050625
23,Корпорация Маяк,developer,https://ekb.cian.ru/sale/flat/290952315/,Екатеринбург,sale,flat,7,9,1,45.4,4387240,2022,-1,23.6,9.7,73432261671,Чкаловский, Круговая,18,Ботаническая,Рудный,"Екатеринбург, Круговая,18","(56.723609993571, 60.636230008973)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",8237.30197187728,10613.979509059154,12547.80121798007
24,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/296577400/,Екатеринбург,sale,flat,6,9,1,50.6,14000000,2022,-1,18.477120921757823,20.5,79826884501,Железнодорожный, Печерская,4,Динамо,Квартал На Некрасова,"Екатеринбург, Печерская,4","(56.851648887085, 60.589741207934)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",841.1012426178254,17709.15457236113,2238.608834426628
25,Диал,real_estate_agent,https://ekb.cian.ru/sale/flat/298697694/,Екатеринбург,sale,flat,5,5,1,31.4,3230000,1966,-1,19.1,5.3,79126902122,Орджоникидзевский, Победы,8,Проспект Космонавтов,,"Екатеринбург, Победы,8","(56.89501379472, 60.611327709915)",Станция метро Проспект Космонавтов,"Екатеринбург,Станция метро Проспект Космонавтов","('56.9023365', '60.6127772')",820.2120952925166,20451.028398847026,6630.384006838983
26,Диал,real_estate_agent,https://ekb.cian.ru/sale/flat/300174636/,Екатеринбург,sale,flat,1,5,1,28.5,3570000,1971,-1,16.0,6.0,79122342206,Верх-Исетский, Крауля,87к2,Площадь 1905 года,,"Екатеринбург, Крауля,87к2","(56.829626231527, 60.568347780355)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",2041.2712296142915,17255.213866591057,2714.651776720265
27,Гринвич,representative_developer,https://ekb.cian.ru/sale/flat/300989570/,Екатеринбург,sale,flat,4,17,1,33.3,6993000,2024,"Монолитно-кирпичный, монолитный",12.159844401077777,5.88185496142348,73432261883,Ленинский, Шаумяна,30,Чкаловская,Южные кварталы,"Екатеринбург, Шаумяна,30","(56.808618981587, 60.586276672203)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1445.7935710865754,15127.201766985983,3364.205272206407
28,Самолет Плюс Екатеринбург-Верхняя Пышма,real_estate_agent,https://ekb.cian.ru/sale/flat/298036473/,Екатеринбург,sale,flat,2,5,1,32.8,3150000,1984,-1,18.4,7.0,79827124617,Октябрьский, Белоярская,26,Геологическая,,"Екатеринбург, Белоярская,26","(56.794375510325, 60.774215581256)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",11010.006589145478,5789.554756760959,10939.63465014526
29,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/300085062/,Екатеринбург,sale,flat,24,26,1,38.1,4950000,2017,-1,10.2,15.1,79122217208,,бульвар Петра Кожемяко,16,Геологическая,,"Екатеринбург,бульвар Петра Кожемяко,16","(56.799140706099, 60.492840707532)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",7419.3378406656,20015.52730138876,8300.4459392152
30,ЛСР. Недвижимость,developer,https://ekb.cian.ru/sale/flat/296539314/,Екатеринбург,sale,flat,13,25,1,31.8,3304020,2024,Панельный,14.9,9.5,73432261684,Октябрьский,,5к4,Ботаническая,Хрустальные Ключи ЖК,"Екатеринбург,,5к4","(56.8376454, 60.5945261)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",5012.462106271308,16478.48343083976,1065.120935666105
31,Бюро недвижимости 1,real_estate_agent,https://ekb.cian.ru/sale/flat/298033388/,Екатеринбург,sale,flat,19,25,1,42.6,5900000,2017,-1,22.2,12.3,79122123616,Ленинский, Громова,26,Чкаловская,Дом на Ясной,"Екатеринбург, Громова,26","(56.810939114918, 60.572417406632)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",2320.088467427221,15997.632575945676,3628.2475383986
32,Гринвич,developer,https://ekb.cian.ru/sale/flat/295124270/,Екатеринбург,sale,flat,5,31,1,43.3,6738563,2025,Монолитно-кирпичный,15.811449326326358,7.648177772661763,73432261791,Кировский, Владимира Высоцкого,7/2,Динамо,Квартал-парк Каменные Палатки,"Екатеринбург, Владимира Высоцкого,7/2","(56.843203432987, 60.670995275865)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",4266.199303472674,13645.565063518712,3730.701939086898
33,БК-НЕДВИЖИМОСТЬ,real_estate_agent,https://ekb.cian.ru/sale/flat/299627720/,Екатеринбург,sale,flat,1,5,1,30.3,3890000,1966,-1,17.0,6.0,79120516011,Центр, Малышева,93,Площадь 1905 года,,"Екатеринбург, Малышева,93","(56.837850011344, 60.630789986174)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",1908.977129553853,14828.220896133134,1205.643140884814
34,BAZA Development,representative_developer,https://ekb.cian.ru/sale/flat/300830418/,Екатеринбург,sale,flat,6,24,1,34.7,6200000,2023,Монолитно-кирпичный,12.9,9.6,73432261715,Кировский, Блюхера,38,Уральская,Тёплые кварталы,"Екатеринбург, Блюхера,38","(56.857081860878, 60.654592640211)",Станция метро Уральская,"Екатеринбург,Станция метро Уральская","('56.8578879', '60.6011489')",3261.533183391903,15482.73057743325,3563.582566383628
35,ID 93671612,realtor,https://ekb.cian.ru/sale/flat/299341172/,Екатеринбург,sale,flat,24,32,1,30.0,6600000,2023,-1,17.0,5.0,79122310502,Ленинский, Амундсена,5,Чкаловская,Астон. Событие,"Екатеринбург, Амундсена,5","(56.805069393853, 60.590158878169)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",1228.2739096444732,14735.338488437394,3628.172525143052
36,САММЕТ,representative_developer,https://ekb.cian.ru/sale/flat/299589504/,Екатеринбург,sale,flat,9,32,1,36.5,4830000,2026,-1,15.2,11.5,73432261781,, Академика Парина,12/6,Чкаловская,First,"Екатеринбург, Академика Парина,12/6","(56.786296875278, 60.502733297143)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6951.241255343114,19049.40135827113,8610.38477658925
37,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/300188131/,Екатеринбург,sale,flat,1,3,1,27.9,3500000,1961,-1,10.18797774144354,8.0,79827128529,Кировский, Комвузовская,21Ж,Машиностроителей,,"Екатеринбург, Комвузовская,21Ж","(56.854232355877, 60.666780090157)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",4270.148692990385,14791.0406718737,3966.885382116112
38,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/291719547/,Екатеринбург,sale,flat,4,25,1,48.7,5500000,2023,-1,15.4,20.7,79122515743,Чкаловский, Щербакова,148/2,Чкаловская,,"Екатеринбург, Щербакова,148/2","(56.767398222689, 60.678998629585)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6136.906281265854,8100.349754574592,8629.026649386315
39,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/299148723/,Екатеринбург,sale,flat,29,31,1,46.2,7231571,2023,Монолитно-кирпичный,16.870414754648447,8.160411387920865,74951378828,, Академика Парина,35/2,Чкаловская,Олимпика,"Екатеринбург, Академика Парина,35/2","(56.79058113944, 60.499879562316)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6972.663902387094,19336.896220075025,8454.753190088024
40,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/296262997/,Екатеринбург,sale,flat,2,25,1,50.8,7924800,2024,Монолитный,18.550153020262798,8.972919881090474,73432261039,Орджоникидзевский,проспект Космонавтов,108/3,Проспект Космонавтов,Veer Park,"Екатеринбург,проспект Космонавтов,108/3","(56.916065261694, 60.611434104269)",Станция метро Проспект Космонавтов,"Екатеринбург,Станция метро Проспект Космонавтов","('56.9023365', '60.6127772')",1530.9988129291196,22398.83458187053,8974.628263344797
41,ID 115225373,homeowner,https://ekb.cian.ru/sale/flat/300631554/,Екатеринбург,sale,flat,5,29,1,37.0,6850000,2021,-1,17.0,14.4,79826311756,Верх-Исетский, Крауля,89А,Геологическая,Русь,"Екатеринбург, Крауля,89А","(56.829523882875, 60.535152367627)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",4198.275972566612,18983.312425958386,4708.6766867938495
42,Антон Давыдов,realtor,https://ekb.cian.ru/sale/flat/300789604/,Екатеринбург,sale,flat,14,16,1,46.0,8500000,2006,-1,19.2,14.0,79826310867,Кировский, Блюхера,41,Динамо,,"Екатеринбург, Блюхера,41","(56.85280839766, 60.641864324287)",Станция метро Динамо,"Екатеринбург,Станция метро Динамо","('56.847786', '60.6015868')",2520.4087726605235,15588.691399260157,2675.056528308619
43,Принцип недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/295363093/,Екатеринбург,sale,flat,6,20,1,48.0,8990000,2023,-1,11.3,21.0,79827408414,, Айвазовского,52,Чкаловская,,"Екатеринбург, Айвазовского,52","(56.804259914195, 60.596662112418)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",874.9427115066578,14340.419935554495,3592.190427315882
44,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/299148348/,Екатеринбург,sale,flat,30,32,1,42.0,6343864,2023,"Монолитно-кирпичный, кирпичный",15.336740686044042,7.418555807200787,73432261700,, Академика Парина,37А,Чкаловская,Eleven,"Екатеринбург, Академика Парина,37А","(56.79058113944, 60.499879562316)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6972.663902387094,19336.896220075025,8454.753190088024
45,Принцип недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/298867185/,Екатеринбург,sale,flat,16,16,1,39.0,7800000,2017,-1,14.241259208469469,6.888658963829302,79827408414,Центр, Шейнкмана,86А,Геологическая,,"Екатеринбург, Шейнкмана,86А","(56.82827330978, 60.587147008901)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",1030.755938985324,16217.433383549684,1690.094622364067
46,PRINZIP,developer,https://ekb.cian.ru/sale/flat/296638190/,Екатеринбург,sale,flat,11,12,1,33.9,5254500,2024,"Монолитно-кирпичный, монолитный",12.378940696592691,5.987834330097778,73432261787,Ленинский, Краснолесья,10/5,Чкаловская,Ньютон Парк,"Екатеринбург, Краснолесья,10/5","(56.778327686143, 60.549267092975)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",4913.395875335615,16076.49112966208,7413.140718492308
47,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/294241516/,Екатеринбург,sale,flat,19,25,1,40.0,4850000,2023,-1,14.606419700994326,17.5,79126930094,Чкаловский, Щербакова,150,Ботаническая,,"Екатеринбург, Щербакова,150","(56.767398222689, 60.678998629585)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",4426.102000800595,8100.349754574592,8629.026649386315
48,PRINZIP,developer,https://ekb.cian.ru/sale/flat/298782430/,Екатеринбург,sale,flat,12,12,1,37.2,5952000,2024,"Монолитно-кирпичный, монолитный",13.583970321924724,6.570720857806411,73432261787,Ленинский, Краснолесья,10/5,Чкаловская,Ньютон Парк,"Екатеринбург, Краснолесья,10/5","(56.778327686143, 60.549267092975)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",4913.395875335615,16076.49112966208,7413.140718492308
49,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/294054620/,Екатеринбург,sale,flat,22,24,1,42.5,4900000,2023,-1,15.519320932306472,17.5,79826414491,Чкаловский, Щербакова,150,Ботаническая,,"Екатеринбург, Щербакова,150","(56.767398222689, 60.678998629585)",Станция метро Ботаническая,"Екатеринбург,Станция метро Ботаническая","('56.797543', '60.631804')",4426.102000800595,8100.349754574592,8629.026649386315
50,Ривьера-Инвест-Екб,developer,https://ekb.cian.ru/sale/flat/296262987/,Екатеринбург,sale,flat,3,25,1,48.9,7872900,2024,Монолитный,17.856348084465562,8.637318546955202,73432261039,Орджоникидзевский,проспект Космонавтов,108/3,Проспект Космонавтов,Veer Park,"Екатеринбург,проспект Космонавтов,108/3","(56.916065261694, 60.611434104269)",Станция метро Проспект Космонавтов,"Екатеринбург,Станция метро Проспект Космонавтов","('56.9023365', '60.6127772')",1530.9988129291196,22398.83458187053,8974.628263344797
51,ID 102834161,homeowner,https://ekb.cian.ru/sale/flat/300949112/,Екатеринбург,sale,flat,10,12,1,47.0,6300000,1974,-1,17.162543148668334,8.301717212819929,79827013697,Верх-Исетский, Волгоградская,182,Чкаловская,,"Екатеринбург, Волгоградская,182","(56.811449991917, 60.562640000397)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",2918.546872822272,16556.60494809358,4007.956178587718
52,Первостроитель,developer,https://ekb.cian.ru/sale/flat/282164627/,Екатеринбург,sale,flat,1,25,1,53.4,11434000,2022,Монолитно-кирпичный,14.0,22.5,73432261789,Кировский, Мира,47,Геологическая,Проспект Мира. Компаунд,"Екатеринбург, Мира,47","(56.833271681853, 60.65788143617)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",3396.1307215505526,13307.635662567756,2840.590357380501
53,ID 90167387,homeowner,https://ekb.cian.ru/sale/flat/298677340/,Екатеринбург,sale,flat,16,16,1,39.7,4430000,1989,-1,21.4,13.7,79126514476,Верх-Исетский, Викулова,32Б,Площадь 1905 года,,"Екатеринбург, Викулова,32Б","(56.832780007661, 60.54455998379)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",3384.7292373057626,18671.85962673483,4098.36680181478
54,Астра,developer,https://ekb.cian.ru/sale/flat/299998411/,Екатеринбург,sale,flat,5,22,1,36.17,4792525,2026,"Монолитно-кирпичный, монолитный",11.8,14.3,73432261634,, Тенистая,8с4,Чкаловская,На Тенистой,"Екатеринбург, Тенистая,8с4","(56.801823684544, 60.501937164506)",Станция метро Чкаловская,"Екатеринбург,Станция метро Чкаловская","('56.8073485', '60.6098317')",6619.964932416894,19579.138813929207,7669.55919330901
55,ID 113232024,homeowner,https://ekb.cian.ru/sale/flat/299052347/,Екатеринбург,sale,flat,8,9,1,37.2,4750000,1990,-1,13.583970321924724,9.0,79826883279,Верх-Исетский, Рабочих,15,Геологическая,,"Екатеринбург, Рабочих,15","(56.834709982776, 60.535959983494)",Станция метро Геологическая,"Екатеринбург,Станция метро Геологическая","('56.8264026', '60.6036815')",4236.505028588781,19232.19004837775,4613.011786828174
56,Стройтэк,developer,https://ekb.cian.ru/sale/flat/290539916/,Екатеринбург,sale,flat,13,32,1,36.77,6761561,2023,Монолитно-кирпичный,12.8,14.3,73432261693,Орджоникидзевский,проспект Космонавтов,26А,Машиностроителей,Атмосфера,"Екатеринбург,проспект Космонавтов,26А","(56.879591805339, 60.61611017241)",Станция метро Машиностроителей,"Екатеринбург,Станция метро Машиностроителей","('56.8784313', '60.612468')",256.92723276489426,18897.983105281,4920.98795105948
57,Стройтэк,developer,https://ekb.cian.ru/sale/flat/297265132/,Екатеринбург,sale,flat,1,21,1,37.5,5800000,2023,-1,15.3,10.2,73432261765,Верх-Исетский, Крауля,170А,Площадь 1905 года,Янтарная Долина,"Екатеринбург, Крауля,170А","(56.83384124918, 60.523192048089)",Станция метро Площадь 1905 года,"Екатеринбург,Станция метро Площадь 1905 года","('56.8360065', '60.599696')",4676.098745928063,19855.63214665116,5394.715761805377
58,МЕТРЫ,real_estate_agent,https://ekb.cian.ru/sale/flat/298480539/,Екатеринбург,sale,flat,3,5,1,31.0,2900000,1965,-1,18.0,6.0,79126525575,Орджоникидзевский, Индустрии,96Б,Проспект Космонавтов,,"Екатеринбург, Индустрии,96Б","(56.902796601366, 60.609878897951)",Станция метро Проспект Космонавтов,"Екатеринбург,Станция метро Проспект Космонавтов","('56.9023365', '60.6127772')",183.87862373741004,21212.704237049475,7497.719816281728
59,Стройтэк,developer,https://ekb.cian.ru/sale/flat/282062959/,Екатеринбург,sale,flat,29,33,1,39.53,7280000,2024,"Монолитно-кирпичный, монолитный",12.4,13.9,73432261741,Кировский, Раевского,18/4,Уральская,Современник,"Екатеринбург, Раевского,18/4","(56.861011430406, 60.659906198079)",Станция метро Уральская,"Екатеринбург,Станция метро Уральская","('56.8578879', '60.6011489')",3601.0974619522485,15650.320739771198,4099.428605031166
